└─$ cat selected.txt commands.txt 
copy.txt:1:USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
copy.txt:168:stefx       1264  0.0  0.2 460436 45288 ?        Sl   06:33   0:07 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
copy.txt:169:stefx       1265  0.0  0.2 462892 42144 ?        Sl   06:33   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
copy.txt:170:stefx       1266  0.0  0.2 389496 41120 ?        Sl   06:33   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
copy.txt:171:stefx       1270  0.0  0.2 389348 41172 ?        Sl   06:33   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
copy.txt:172:stefx       1306  0.0  0.3 499356 58096 ?        Ssl  06:33   0:01 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
copy.txt:173:stefx       1317  0.0  0.1 259976 17024 ?        Sl   06:33   0:00 xfce4-power-manager --restart --sm-client-id 2010effa3-eb32-4968-a15e-069d9a26a741
copy.txt:174:stefx       1339  0.0  0.0 258876 15744 ?        Sl   06:33   0:00 /usr/libexec/polkit-mate-authentication-agent-1
copy.txt:175:stefx       1345  0.0  0.0 230356  5632 ?        Ssl  06:33   0:00 /usr/libexec/dconf-service
copy.txt:176:stefx       1361  0.0  0.0 308376  6016 ?        Sl   06:33   0:00 /usr/libexec/geoclue-2.0/demos/agent
copy.txt:177:stefx       1365  0.0  0.0  12636  1848 ?        Ssl  06:33   0:01 xcape -e Super_L Control_L Escape
copy.txt:178:stefx       1375  0.0  0.2 623300 47244 ?        Sl   06:33   0:00 nm-applet
copy.txt:179:stefx       1388  0.0  0.2  62868 36588 ?        S    06:33   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
copy.txt:180:stefx       1389  0.0  0.1 417120 31112 ?        Sl   06:33   0:00 light-locker
copy.txt:181:stefx       1390  0.0  0.3 515180 51108 ?        Sl   06:33   0:00 /usr/bin/python3 /usr/bin/blueman-applet
copy.txt:182:stefx       1408  0.0  0.0 529144  8192 ?        Sl   06:33   0:00 xiccd
copy.txt:183:colord      1435  0.0  0.0 318308 14016 ?        Ssl  06:33   0:00 /usr/libexec/colord
copy.txt:184:stefx       1569  0.0  0.0 426544 12416 ?        Ssl  06:34   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
copy.txt:185:root        1573  0.0  0.0 470844 14912 ?        Ssl  06:34   0:02 /usr/libexec/udisks2/udisksd
copy.txt:186:root        1593  0.0  0.0      0     0 ?        I<   06:34   0:00 [kworker/7:0H-kblockd]
copy.txt:187:stefx       1598  0.0  0.0 388900  8064 ?        Ssl  06:34   0:00 /usr/libexec/gvfs-afc-volume-monitor
copy.txt:188:stefx       1604  0.0  0.0 307976  6400 ?        Ssl  06:34   0:00 /usr/libexec/gvfs-mtp-volume-monitor
copy.txt:189:stefx       1609  0.0  0.0 307840  6144 ?        Ssl  06:34   0:00 /usr/libexec/gvfs-goa-volume-monitor
copy.txt:190:stefx       1614  0.0  0.0 308936  6656 ?        Ssl  06:34   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
copy.txt:191:stefx       1615  0.0  0.0  49204  7680 ?        Ss   06:34   0:00 /usr/libexec/bluetooth/obexd
copy.txt:192:stefx       1637  0.0  0.0 533804  8320 ?        Sl   06:34   0:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
copy.txt:193:stefx       1645  0.0  0.0 234372  6144 ?        Ssl  06:34   0:00 /usr/libexec/gvfsd-metadata
copy.txt:194:stefx       3076  0.0  0.6 911396 109384 ?       Sl   06:37   0:02 /usr/bin/qterminal
copy.txt:195:stefx       3087  0.0  0.0  10688  6008 pts/0    Ss   06:37   0:00 /usr/bin/zsh
copy.txt:196:stefx       3151  0.1  1.2 1177993368 207556 pts/0 SLl+ 06:37   0:47 /usr/share/discord/Discord
copy.txt:197:stefx       3162  0.0  0.3 33803024 49920 pts/0  S+   06:37   0:00 /usr/share/discord/Discord --type=zygote --no-zygote-sandbox
copy.txt:198:stefx       3163  0.0  0.3 33803012 50048 pts/0  S+   06:37   0:00 /usr/share/discord/Discord --type=zygote
copy.txt:199:stefx       3165  0.0  0.0 33803012 10628 pts/0  S+   06:37   0:00 /usr/share/discord/Discord --type=zygote
copy.txt:200:stefx       3187  0.0  0.0 33575592 3072 ?       Sl   06:37   0:00 /usr/share/discord/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/stefx/.config/discord/Crashpad --url=https://f.a.k/e --annotation=_productName=discord --annotation=_version=0.0.57 --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=28.2.10 --initial-client-fd=46 --shared-client-connection
copy.txt:201:stefx       3226  0.0  0.1 489304 17408 ?        Ssl  06:37   0:00 /usr/libexec/xdg-desktop-portal
